repo_url,stars,forks,repo_size_kb,open_issues_count,num_files,num_py_files,num_js_files,num_ts_files,num_html_files,num_css_files,num_json_files,num_sh_files,num_yaml_files,num_test_files,test_file_ratio,num_docs_files,num_notebooks,other_extensions_count,has_dedicated_test_dir,has_license,has_src_dir,has_docs_dir,has_scripts_dir,num_dirs,avg_files_per_dir,avg_py_file_len,avg_test_file_len,avg_nb_cell_count,avg_docs_file_len,num_dependencies,repo_age_days,recent_activity_days,has_pyproject_toml,has_dockerfile,has_github_actions,has_requirements_txt,has_conda_env_file,has_docker_compose,has_precommit_config,has_setup_py,has_tox_ini,has_makefile
https://github.com/Breakthrough/PySceneDetect,4662,480,178959,76,167,43,0,0,3,2,0,0,13,11,0.204,34,0,61,True,True,False,True,False,31,5.22,274.0,263.2,0.0,94.6,14,4319,0,True,False,True,True,False,False,False,True,False,False
https://github.com/ByteDance-Seed/Bagel,5783,512,2165,148,143,95,0,0,0,0,3,11,1,1,0.01,3,1,28,False,True,False,False,True,37,3.76,276.6,178.0,35.0,257.7,25,349,0,False,False,False,True,False,False,False,False,False,False
https://github.com/ByteDance-Seed/Depth-Anything-3,4867,503,23215,175,133,98,0,0,0,0,0,1,12,0,0.0,6,1,15,False,True,True,True,False,29,4.43,284.6,0.0,5.0,378.3,58,140,0,True,False,False,True,False,False,True,False,False,False
https://github.com/CCOSTAN/Home-AssistantConfig,5178,499,386325,126,836,3,0,0,1,0,6,3,201,2,0.4,29,0,591,False,True,False,False,False,264,3.15,381.3,214.5,0.0,72.3,0,3459,2,False,False,True,False,False,False,False,False,False,False
https://github.com/CTFd/CTFd,6595,2644,45456,399,1007,232,169,0,142,22,5,4,15,100,0.301,12,0,306,True,True,False,False,True,248,4.04,108.3,208.8,0.0,226.9,66,4108,0,False,True,True,True,False,True,False,False,False,True
https://github.com/CVHub520/X-AnyLabeling,8608,925,153803,8,1135,374,0,4,0,0,36,3,191,9,0.023,48,0,470,True,True,False,True,True,180,6.27,393.8,160.1,0.0,226.8,25,1044,0,True,False,False,False,False,False,True,False,False,False
https://github.com/CadQuery/cadquery,4728,434,11161,472,209,76,1,0,1,1,0,2,8,20,0.208,29,1,70,True,True,False,True,False,23,8.71,361.8,785.1,7.0,293.2,0,2711,0,False,False,False,False,True,False,False,True,False,False
https://github.com/Chainlit/chainlit,11852,1678,10966,122,617,127,12,327,3,3,38,0,17,34,0.211,15,0,41,False,True,False,True,False,155,3.96,140.1,408.4,0.0,194.1,24,1114,0,True,False,True,False,False,False,False,False,False,False
https://github.com/Chia-Network/chia-blockchain,10848,2058,158880,397,1193,681,0,0,0,0,16,23,38,255,0.272,12,0,168,False,True,False,False,False,111,10.65,216.0,453.6,0.0,436.0,58,2451,0,True,False,True,False,False,False,True,False,False,False
https://github.com/ChristianLempa/boilerplates,7522,1824,5117,28,266,43,0,0,1,0,1,2,76,2,0.044,23,0,118,True,True,False,False,True,107,2.46,222.5,142.5,0.0,228.7,11,1755,0,True,False,True,True,False,False,False,False,False,False
https://github.com/Cinnamon/kotaemon,25243,2110,44264,227,406,242,6,0,5,3,6,8,11,24,0.09,28,0,73,False,True,False,True,True,88,4.56,134.0,124.0,0.0,94.7,58,737,0,True,True,True,False,False,False,True,False,False,False
https://github.com/Cog-Creators/Red-DiscordBot,5489,2439,85849,321,1802,210,2,0,2,0,3,0,75,19,0.083,109,0,1382,True,True,False,True,False,104,17.16,358.4,176.2,0.0,241.3,81,3742,0,True,False,True,True,False,False,False,True,True,True
https://github.com/CollegesChat/university-information,4756,720,118902,73,27,1,0,0,1,0,0,0,2,0,0.0,10,0,13,False,False,False,False,False,9,2.7,372.0,0.0,0.0,31.3,25,1741,0,False,False,True,False,False,False,False,False,False,False
https://github.com/Comfy-Org/ComfyUI,107492,12409,86226,3914,774,515,0,0,0,0,79,1,38,59,0.103,10,0,72,True,True,False,False,False,159,4.84,328.8,262.2,0.0,81.1,39,1170,0,True,False,True,True,False,False,False,False,False,False
https://github.com/Comfy-Org/ComfyUI-Manager,14088,2063,163110,367,96,18,16,0,0,3,24,7,4,0,0.0,9,1,14,False,True,False,True,True,18,5.05,684.6,0.0,10.0,135.0,22,1074,0,True,False,True,True,False,False,False,False,False,False
https://github.com/ComposioHQ/awesome-claude-skills,50162,5219,3742,439,1141,61,1,0,0,0,2,2,0,1,0.016,892,0,182,False,False,False,False,False,904,1.26,259.2,226.0,0.0,106.8,6,166,0,False,False,False,False,False,False,False,False,False,False
https://github.com/CorentinJ/Real-Time-Voice-Cloning,59571,9410,369730,170,77,59,0,0,0,0,0,0,1,1,0.017,2,0,14,True,True,False,False,False,13,5.5,110.4,20.0,0.0,43.0,18,2502,0,True,False,True,False,False,False,False,False,False,False
https://github.com/CursorTouch/Windows-MCP,4972,628,11217,13,79,48,0,0,0,0,2,0,3,12,0.2,5,0,9,True,True,True,False,False,15,4.94,394.0,142.6,0.0,268.4,19,323,0,True,False,True,False,False,False,False,False,False,False
https://github.com/D4Vinci/Scrapling,34127,2753,7382,2,215,59,0,0,1,1,1,0,13,37,0.385,63,0,40,True,True,False,True,False,40,5.24,173.2,215.8,0.0,243.2,22,534,0,True,True,True,False,False,False,True,False,True,False
https://github.com/DEAP/deap,6361,1160,11047,284,233,120,2,0,2,1,13,0,3,11,0.084,45,1,35,True,True,False,True,False,37,6.13,137.9,107.3,8.0,95.8,1,4332,1,False,False,False,False,False,False,False,True,False,False
